_id,type,geometry,properties,id
5f165415865fef31202c1837,Feature,"{'type': 'LineString', 'coordinates': [[-110.269398, 46.45285], [-110.26651, 46.451091]]}","{'OBJECTID': 11281, 'NGAID': '10095347', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'MARTINSDALE, NORTH DAM', 'CITY': '', 'STATE': 'MT', 'COUNTY': 'WHEATLAND', 'FIPS': '30107', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-03-13T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -110.2679537, 'Y': 46.4519706, 'QC_QA': '', 'RECORDID': '37850', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '40A -W-119526-0', 'NIDID': 'MT00020', 'SECTION': 'S18 8N 12E', 'RIVER': 'TR-MUSSELSHELL RIVER', 'CITYAFFECT': 'TWO DOT', 'NIDSTATE': 'MT', 'NIDCOUNTY': 'WHEATLAND', 'DISTANCE': 10, 'OWN_TYPE': 'S', 'PRIV_DAM': 'N', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': 'RZ', 'PURPOSES': 'I', 'YR_COMPL': '1939', 'YR_MOD': '', 'DAM_LENGTH': 1000, 'DAM_HEIGHT': 101, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 91, 'NID_HEIGHT': 101, 'MAX_DIS': 1060, 'MAX_STOR': 36030, 'NORMAL_STO': 23080, 'NID_STOR': 36030, 'SURF_AREA': 985, 'DRAIN_AREA': 15.700000000000001, 'HAZARD': 'H', 'EAP': 'Y', 'INSP_DATE': '2001-04-26T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'DNRC', 'SPILL_TYPE': '', 'SPILL_WIDT': 0, 'OUT_GATES': '', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'MT', 'SUB_DATE': '20020108', 'URL_ADDRES': 'HTTP://WWW.DNRC.STATE.MT.US/WRD/HOME.HTM', 'CONG_DIST': 'MT00', 'SHAPE_Leng': 429.1908032363235}",1761
5f165416865fef31202c28f4,Feature,"{'type': 'LineString', 'coordinates': [[-89.642471, 38.175407], [-89.64287, 38.168992], [-89.642217, 38.168849], [-89.638663, 38.168878], [-89.638481, 38.175435], [-89.642543, 38.175578], [-89.642507, 38.175378]]}","{'OBJECTID': 4701, 'NGAID': '10074263', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'ZEIGLER/MINE 11/SLURRY POND 1 DAM', 'CITY': '', 'STATE': 'IL', 'COUNTY': 'RANDOLPH', 'FIPS': '17157', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '2007-02-23T00:00:00.000Z', 'CONTHOW': 'PHONE', 'GEODATE': '2007-02-23T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -89.6386602, 'Y': 38.168966, 'QC_QA': 'TGS', 'RECORDID': '16786', 'OTHER_NAME': 'ZEIGLER/MINE 11/SLURRY POND 1', 'FORM_NAME': '', 'STATEID': '', 'NIDID': 'IL50177', 'SECTION': '22;4S;5W;3', 'RIVER': 'TRIB MARY S RIVER', 'CITYAFFECT': 'TILDEN', 'NIDSTATE': 'IL', 'NIDCOUNTY': 'RANDOLPH', 'DISTANCE': 0.1, 'OWN_TYPE': 'P', 'PRIV_DAM': 'N', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'O', 'YR_COMPL': '1977', 'YR_MOD': '1997', 'DAM_LENGTH': 7180, 'DAM_HEIGHT': 33, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 0, 'NID_HEIGHT': 33, 'MAX_DIS': 0, 'MAX_STOR': 5035, 'NORMAL_STO': 0, 'NID_STOR': 5035, 'SURF_AREA': 0, 'DRAIN_AREA': 0, 'HAZARD': 'L', 'EAP': 'N', 'INSP_DATE': '1997-09-05T00:00:00.000Z', 'INSP_FREQU': 5, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'IDNR', 'SPILL_TYPE': 'U', 'SPILL_WIDT': 2, 'OUT_GATES': 'U', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'IL', 'SUB_DATE': '20020507', 'URL_ADDRES': 'HTTP://DNR.STATE.IL.US/OWR/OWR_INDEX.HTM', 'CONG_DIST': 'IL12', 'SHAPE_Leng': 2790.4719687090524}",6035
5f165416865fef31202c1f2c,Feature,"{'type': 'LineString', 'coordinates': [[-96.529245, 37.714373], [-96.530659, 37.712539]]}","{'OBJECTID': 7318, 'NGAID': '10075861', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'WIEDEMANN, K.T., UPPER WIDEMANN DAM', 'CITY': '', 'STATE': 'KS', 'COUNTY': 'BUTLER', 'FIPS': '20015', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-03-27T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -96.5299518, 'Y': 37.7134555, 'QC_QA': '', 'RECORDID': '18385', 'OTHER_NAME': 'UPPER WIEDEMANN DAM', 'FORM_NAME': '', 'STATEID': 'DBU-0035', 'NIDID': 'KS00288', 'SECTION': 'SW NE SE 09 27 08E', 'RIVER': 'SPRING CREEK', 'CITYAFFECT': 'REECE', 'NIDSTATE': 'KS', 'NIDCOUNTY': 'BUTLER', 'DISTANCE': 7, 'OWN_TYPE': 'P', 'PRIV_DAM': '', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'P', 'YR_COMPL': '1973', 'YR_MOD': '', 'DAM_LENGTH': 800, 'DAM_HEIGHT': 44, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 44, 'NID_HEIGHT': 44, 'MAX_DIS': 317, 'MAX_STOR': 347, 'NORMAL_STO': 231, 'NID_STOR': 347, 'SURF_AREA': 19.6, 'DRAIN_AREA': 0.4, 'HAZARD': 'H', 'EAP': 'N', 'INSP_DATE': '1990-02-13T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'KS DWR', 'SPILL_TYPE': '', 'SPILL_WIDT': 0, 'OUT_GATES': '', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'KS', 'SUB_DATE': '20000401', 'URL_ADDRES': '0', 'CONG_DIST': 'KS04', 'SHAPE_Leng': 302.28907936574234}",3545
5f165418865fef31202c436a,Feature,"{'type': 'LineString', 'coordinates': [[-77.542504, 39.025716], [-77.539485, 39.025781], [-77.538558, 39.025467], [-77.538344, 39.025642]]}","{'OBJECTID': 12597, 'NGAID': '10132248', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'BEAVERDAM CREEK DAM', 'CITY': '', 'STATE': 'VA', 'COUNTY': 'LOUDOUN', 'FIPS': '51107', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-04-03T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -77.540367, 'Y': 39.0257612, 'QC_QA': '', 'RECORDID': '74756', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '', 'NIDID': 'VA10701', 'SECTION': '', 'RIVER': 'BEAVERDAM CREEK', 'CITYAFFECT': 'ARLINGTON', 'NIDSTATE': 'VA', 'NIDCOUNTY': 'LOUDOUN', 'DISTANCE': 29, 'OWN_TYPE': 'L', 'PRIV_DAM': 'N', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'S', 'YR_COMPL': '1972', 'YR_MOD': '', 'DAM_LENGTH': 1165, 'DAM_HEIGHT': 55, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 47, 'NID_HEIGHT': 55, 'MAX_DIS': 0, 'MAX_STOR': 6764, 'NORMAL_STO': 4082, 'NID_STOR': 6764, 'SURF_AREA': 275, 'DRAIN_AREA': 5.5, 'HAZARD': 'S', 'EAP': 'Y', 'INSP_DATE': '2001-01-23T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': 'Y', 'ST_REG_AG': '', 'SPILL_TYPE': '', 'SPILL_WIDT': 0, 'OUT_GATES': '', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'VA', 'SUB_DATE': '20021021', 'URL_ADDRES': 'HTTP://WWW.DCR.VIRGINIA.GOV/SW/DAMSAFTY.HTM', 'CONG_DIST': 'VA10', 'SHAPE_Leng': 483.37617325722937}",12818
5f165417865fef31202c30ef,Feature,"{'type': 'LineString', 'coordinates': [[-100.691456, 30.691063], [-100.692111, 30.687421], [-100.691495, 30.687269]]}","{'OBJECTID': 8906, 'NGAID': '10125749', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'DRY DEVILS AND LOWREY WS SCS SITE 4 DAM', 'CITY': '', 'STATE': 'TX', 'COUNTY': 'SUTTON', 'FIPS': '48435', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-03-29T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -100.6918397, 'Y': 30.6889297, 'QC_QA': '', 'RECORDID': '68296', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': 'TX56840000', 'NIDID': 'TX02300', 'SECTION': '3000-313', 'RIVER': 'TR-DRY DEVILS RIVER', 'CITYAFFECT': 'SONORA', 'NIDSTATE': 'TX', 'NIDCOUNTY': 'SUTTON', 'DISTANCE': 9, 'OWN_TYPE': 'L', 'PRIV_DAM': 'N', 'DAM_TYPE': 'RE', 'CORE': 'XX', 'FOUND': 'RSK', 'PURPOSES': 'C', 'YR_COMPL': '1961', 'YR_MOD': '', 'DAM_LENGTH': 1570, 'DAM_HEIGHT': 40, 'STR_HEIGHT': 40, 'HYD_HEIGHT': 40, 'NID_HEIGHT': 40, 'MAX_DIS': 14258, 'MAX_STOR': 2755, 'NORMAL_STO': 127, 'NID_STOR': 2755, 'SURF_AREA': 31, 'DRAIN_AREA': 6.3, 'HAZARD': 'H', 'EAP': 'N', 'INSP_DATE': '1979-06-12T00:00:00.000Z', 'INSP_FREQU': 5, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'TX NATURAL RESOURCE CONS. COM.', 'SPILL_TYPE': 'U', 'SPILL_WIDT': 150, 'OUT_GATES': 'U2', 'VOLUME': 107467, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': 'USDA NRCS', 'FED_DESIGN': 'USDA NRCS', 'FED_CONSTR': 'USDA NRCS', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'TX', 'SUB_DATE': '20000401', 'URL_ADDRES': 'HTTP://WWW.TCEQ.STATE.TX.US/', 'CONG_DIST': 'TX11', 'SHAPE_Leng': 548.4738359817467}",8082
5f165418865fef31202c4a06,Feature,"{'type': 'LineString', 'coordinates': [[-73.726568, 41.339733], [-73.728612, 41.339876]]}","{'OBJECTID': 7523, 'NGAID': '10106832', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'LAKE LINCOLNDALE DAM', 'CITY': 'SOMERS, TOWN OF', 'STATE': 'NY', 'COUNTY': 'WESTCHESTER', 'FIPS': '36119', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-04-05T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -73.7275899, 'Y': 41.3398048, 'QC_QA': '', 'RECORDID': '49372', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '231-1030', 'NIDID': 'NY00102', 'SECTION': '', 'RIVER': 'TR-PLUM BROOK', 'CITYAFFECT': 'LINCOLNDALE', 'NIDSTATE': 'NY', 'NIDCOUNTY': 'WESTCHESTER', 'DISTANCE': 1, 'OWN_TYPE': 'P', 'PRIV_DAM': '', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'R', 'YR_COMPL': '1935', 'YR_MOD': '', 'DAM_LENGTH': 580, 'DAM_HEIGHT': 22, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 0, 'NID_HEIGHT': 22, 'MAX_DIS': 430, 'MAX_STOR': 275, 'NORMAL_STO': 170, 'NID_STOR': 275, 'SURF_AREA': 22, 'DRAIN_AREA': 0.5, 'HAZARD': 'H', 'EAP': 'N', 'INSP_DATE': '2001-08-22T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'NYS DEPT ENVIRON CONSERVATION', 'SPILL_TYPE': 'U', 'SPILL_WIDT': 25, 'OUT_GATES': '', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'NY', 'SUB_DATE': '20020711', 'URL_ADDRES': 'HTTP://WWW.DEC.STATE.NY.US/WEBSITE/DOW/BPRFP/DS/INDEX.HTM', 'CONG_DIST': 'NY19', 'SHAPE_Leng': 228.52391903067613}",14513
5f165418865fef31202c3d7f,Feature,"{'type': 'LineString', 'coordinates': [[-82.5982, 39.662166], [-82.597698, 39.661243]]}","{'OBJECTID': 5383, 'NGAID': '10109551', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'PINE LAKE ESTATES DAM', 'CITY': '', 'STATE': 'OH', 'COUNTY': 'FAIRFIELD', 'FIPS': '39045', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-03-21T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -82.5979493, 'Y': 39.6617043, 'QC_QA': '', 'RECORDID': '52066', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '9524-011', 'NIDID': 'OH00948', 'SECTION': 'BERNE', 'RIVER': 'TRIBUTARY TO HOCKING RIVER', 'CITYAFFECT': 'LANCASTER', 'NIDSTATE': 'OH', 'NIDCOUNTY': 'FAIRFIELD', 'DISTANCE': 2.7, 'OWN_TYPE': 'P', 'PRIV_DAM': '', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'R', 'YR_COMPL': '1962', 'YR_MOD': '', 'DAM_LENGTH': 375, 'DAM_HEIGHT': 25.7, 'STR_HEIGHT': 25.7, 'HYD_HEIGHT': 21.5, 'NID_HEIGHT': 25.7, 'MAX_DIS': 183, 'MAX_STOR': 155, 'NORMAL_STO': 86, 'NID_STOR': 155, 'SURF_AREA': 12, 'DRAIN_AREA': 0.7, 'HAZARD': 'H', 'EAP': 'N', 'INSP_DATE': '1993-03-04T00:00:00.000Z', 'INSP_FREQU': 5, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'OHIO DNR, DIVISION OF WATER', 'SPILL_TYPE': 'U', 'SPILL_WIDT': 0, 'OUT_GATES': 'X', 'VOLUME': 18043, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'OH', 'SUB_DATE': '20020712', 'URL_ADDRES': 'HTTP://WWW.DNR.STATE.OH.US/WATER/DSAFETY/', 'CONG_DIST': 'OH07', 'SHAPE_Leng': 144.6935978840519}",11306
5f165418865fef31202c3f76,Feature,"{'type': 'LineString', 'coordinates': [[-79.206076, 38.600685], [-79.205529, 38.601225], [-79.204899, 38.60194], [-79.20459, 38.602218], [-79.204471, 38.602329], [-79.204317, 38.602329], [-79.204162, 38.602329], [-79.203972, 38.602265], [-79.203259, 38.602061]]}","{'OBJECTID': 12527, 'NGAID': '10135636', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'SOUTH FORK 13', 'CITY': '', 'STATE': 'WV', 'COUNTY': 'PENDLETON', 'FIPS': '54071', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-03-23T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -79.2048582, 'Y': 38.6019764, 'QC_QA': '', 'RECORDID': '78135', 'OTHER_NAME': 'BRANDYWINE LAKE', 'FORM_NAME': '', 'STATEID': 'WV-67', 'NIDID': 'WV07106', 'SECTION': '', 'RIVER': 'HAWES RUN', 'CITYAFFECT': 'MOOREFIELD', 'NIDSTATE': 'WV', 'NIDCOUNTY': 'PENDLETON', 'DISTANCE': 37, 'OWN_TYPE': 'L', 'PRIV_DAM': 'Y', 'DAM_TYPE': 'RE', 'CORE': 'IEK', 'FOUND': 'RSK', 'PURPOSES': 'C', 'YR_COMPL': '1960', 'YR_MOD': '', 'DAM_LENGTH': 1135, 'DAM_HEIGHT': 80, 'STR_HEIGHT': 80, 'HYD_HEIGHT': 80, 'NID_HEIGHT': 80, 'MAX_DIS': 24657, 'MAX_STOR': 1583, 'NORMAL_STO': 93, 'NID_STOR': 1583, 'SURF_AREA': 9, 'DRAIN_AREA': 3.7, 'HAZARD': 'H', 'EAP': 'Y', 'INSP_DATE': '1999-04-13T00:00:00.000Z', 'INSP_FREQU': 2, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'DNR', 'SPILL_TYPE': 'U', 'SPILL_WIDT': 200, 'OUT_GATES': 'U', 'VOLUME': 444000, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': 'USDA NRCS', 'FED_DESIGN': 'USDA NRCS', 'FED_CONSTR': 'USDA NRCS', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': 'USDA FS', 'SOURCE_A': 'USDA NRCS', 'SUB_DATE': '20020130', 'URL_ADDRES': 'HTTP://WWW.NRCS.USDA.GOV/', 'CONG_DIST': 'WV02', 'SHAPE_Leng': 436.8439825694776}",11804
5f165417865fef31202c348b,Feature,"{'type': 'LineString', 'coordinates': [[-82.277794, 28.812129], [-82.277608, 28.812101]]}","{'OBJECTID': 1422, 'NGAID': '10065180', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'GOLF COURSE', 'CITY': '', 'STATE': 'FL', 'COUNTY': 'CITRUS', 'FIPS': '12017', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-02-12T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -82.277701, 'Y': 28.8121145, 'QC_QA': '', 'RECORDID': '7729', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '', 'NIDID': 'FL18002', 'SECTION': '', 'RIVER': 'LAKE TSALA APOPKA', 'CITYAFFECT': 'IVERNESS', 'NIDSTATE': 'FL', 'NIDCOUNTY': 'CITRUS', 'DISTANCE': 0, 'OWN_TYPE': 'S', 'PRIV_DAM': '', 'DAM_TYPE': 'OT', 'CORE': '', 'FOUND': '', 'PURPOSES': 'C', 'YR_COMPL': '1970', 'YR_MOD': '', 'DAM_LENGTH': 94.5, 'DAM_HEIGHT': 6.4, 'STR_HEIGHT': 13.200000000000001, 'HYD_HEIGHT': 8.5, 'NID_HEIGHT': 13.200000000000001, 'MAX_DIS': 100, 'MAX_STOR': 41333, 'NORMAL_STO': 21533, 'NID_STOR': 41333, 'SURF_AREA': 4950, 'DRAIN_AREA': 0, 'HAZARD': 'L', 'EAP': 'NR', 'INSP_DATE': '1999-03-31T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': 'Y', 'ST_REG_AG': 'SWFWMD', 'SPILL_TYPE': 'C', 'SPILL_WIDT': 63, 'OUT_GATES': '', 'VOLUME': 42170.6, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'FL', 'SUB_DATE': '20020903', 'URL_ADDRES': 'HTTP://WWW.DEP.STATE.FL.US/WATER/MINES/DAMSAFE.HTM', 'CONG_DIST': 'FL05', 'SHAPE_Leng': 20.998917745203162}",9016
5f165418865fef31202c3fa3,Feature,"{'type': 'LineString', 'coordinates': [[-80.265824, 39.302277], [-80.265543, 39.302042]]}","{'OBJECTID': 12627, 'NGAID': '10135366', 'METLNKID': '', 'FEATTYPE': 'POLYLINE', 'NAME': 'MEADOW VILLAGE POND', 'CITY': 'BRIDGEPORT', 'STATE': 'WV', 'COUNTY': 'HARRISON', 'FIPS': '54033', 'DIRECTIONS': '', 'EMERGTITLE': '', 'EMERGPHONE': '', 'EMERGEXT': '', 'CONTDATE': '1899-11-30T00:00:00.000Z', 'CONTHOW': '', 'GEODATE': '2007-04-17T00:00:00.000Z', 'GEOHOW': 'MANUAL', 'HSIPTHEMES': 'CRITICAL INFRASTUCTURE, PDD-63; WATER SUPPLY; DAMS', 'SOURCE': 'USACE', 'X': -80.2656836, 'Y': 39.3021587, 'QC_QA': '', 'RECORDID': '77892', 'OTHER_NAME': '', 'FORM_NAME': '', 'STATEID': '03302', 'NIDID': 'WV03302', 'SECTION': '', 'RIVER': '', 'CITYAFFECT': 'BRIDGEPORT', 'NIDSTATE': 'WV', 'NIDCOUNTY': 'HARRISON', 'DISTANCE': 0, 'OWN_TYPE': 'P', 'PRIV_DAM': '', 'DAM_TYPE': 'RE', 'CORE': '', 'FOUND': '', 'PURPOSES': 'R', 'YR_COMPL': '', 'YR_MOD': '', 'DAM_LENGTH': 0, 'DAM_HEIGHT': 11.6, 'STR_HEIGHT': 0, 'HYD_HEIGHT': 0, 'NID_HEIGHT': 11.6, 'MAX_DIS': 0, 'MAX_STOR': 28, 'NORMAL_STO': 0, 'NID_STOR': 28, 'SURF_AREA': 0, 'DRAIN_AREA': 0, 'HAZARD': 'H', 'EAP': 'N', 'INSP_DATE': '1993-04-08T00:00:00.000Z', 'INSP_FREQU': 0, 'ST_REG_DAM': '', 'ST_REG_AG': 'DNR', 'SPILL_TYPE': '', 'SPILL_WIDT': 0, 'OUT_GATES': '', 'VOLUME': 0, 'NO_LOCKS': 0, 'LEN_LOCKS': 0, 'WID_LOCKS': 0, 'FED_FUND': '', 'FED_DESIGN': '', 'FED_CONSTR': '', 'FED_REG': '', 'FED_INSP': '', 'FED_OPER': '', 'FED_OWN': '', 'FED_OTHER': '', 'SOURCE_A': 'WV', 'SUB_DATE': '20020614', 'URL_ADDRES': '0', 'CONG_DIST': '', 'SHAPE_Leng': 46.05833115899275}",11850
