_id,type,properties,geometry
61e9872e4d228f6731f62ce1,Feature,"{'OBJECTID': 146581, 'UNIQUE_ID': 'N/A', 'NAME': 'REGENT PRODUCTS, INC.', 'PHONE': '(757) 340-5611', 'FAX': '(757) 340-3301', 'ADDRESS': '2656 QUALITY COURT', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'VIRGINIA BEACH', 'STATE': 'VA', 'ZIP': '23454', 'ZIP4': '5252', 'COUNTY': 'VIRGINIA BEACH (CITY)', 'FIPS': '51810', 'MADDRESS': '2656 QUALITY COURT', 'MCITY': 'VIRGINIA BEACH', 'MSTATE': 'VA', 'MZIP': '23454', 'MZIP4': 'N/A', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 15, 'PRODUCT': 'CUT STONE PRODUCTS', 'SIC': '3281', 'SIC2': 'N/A', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '327991', 'NAICSDESCR': 'CUT STONE AND STONE PRODUCT MANUFACTURING', 'WEB': 'WWW.REGENTSTONEPRODUCTS.COM', 'LONGITUDE': -76.0590511, 'LATITUDE': 36.8203567}","{'type': 'Point', 'coordinates': [-76.0590511, 36.8203567]}"
61e986a2c0bf18925b659c00,Feature,"{'OBJECTID': 155307, 'UNIQUE_ID': 'N/A', 'NAME': 'AMERICAN PAINT PADDLE CO.', 'PHONE': '(843) 767-5229', 'FAX': '(843) 767-0494', 'ADDRESS': '7240 CROSS PARK DRIVE', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'NORTH CHARLESTON', 'STATE': 'SC', 'ZIP': '29418', 'ZIP4': '7416', 'COUNTY': 'CHARLESTON', 'FIPS': '45019', 'MADDRESS': '7240 CROSS PARK DRIVE', 'MCITY': 'NORTH CHARLESTON', 'MSTATE': 'SC', 'MZIP': '29418', 'MZIP4': '7416', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 30, 'PRODUCT': 'CUSTOM PROMOTIONAL PRODUCTS, INCLUDING CORPORATE APPAREL, HATS, AD SPECIALTY ITEMS, WOODEN PAINT PADDLES', 'SIC': '3993', 'SIC2': '2499', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': 'N/A', 'NAICSDESCR': 'NOT AVAILABLE', 'WEB': 'WWW.APP-CO.COM', 'LONGITUDE': -80.0719135, 'LATITUDE': 32.9187292}","{'type': 'Point', 'coordinates': [-80.0719134999999, 32.9187292]}"
61e9868ec0bf18925b63f2ac,Feature,"{'OBJECTID': 46422, 'UNIQUE_ID': 'N/A', 'NAME': 'CELANESE CORPORATION (H Q)', 'PHONE': '(972) 443-4000', 'FAX': '(972) 443-2060', 'ADDRESS': '1601 LYNDON B JOHNSON FREEWAY', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'DALLAS', 'STATE': 'TX', 'ZIP': '75234', 'ZIP4': '6034', 'COUNTY': 'DALLAS', 'FIPS': '48113', 'MADDRESS': '1601 LYNDON B JOHNSON FREEWAY', 'MCITY': 'DALLAS', 'MSTATE': 'TX', 'MZIP': '75234', 'MZIP4': '6034', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 600, 'PRODUCT': 'CORPORATE HEADQUARTERS; INDUSTRIAL & ORGANIC CHEMICALS', 'SIC': '2819', 'SIC2': '2899', 'SIC3': '2869', 'SIC4': 'N/A', 'NAICS': 'N/A', 'NAICSDESCR': 'NOT AVAILABLE', 'WEB': 'WWW.CELANESE.COM', 'LONGITUDE': -96.9213009, 'LATITUDE': 32.90925}","{'type': 'Point', 'coordinates': [-96.9213008999999, 32.90925]}"
61e987294d228f6731f5c6d9,Feature,"{'OBJECTID': 120457, 'UNIQUE_ID': 'N/A', 'NAME': 'RICHMOND STEEL, INC.', 'PHONE': '(804) 355-8080', 'FAX': '(804) 355-8123', 'ADDRESS': '1301 NORTH BOULEVARD', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'RICHMOND', 'STATE': 'VA', 'ZIP': '23230', 'ZIP4': '4521', 'COUNTY': 'RICHMOND (CITY)', 'FIPS': '51760', 'MADDRESS': '1301 NORTH BOULEVARD', 'MCITY': 'RICHMOND', 'MSTATE': 'VA', 'MZIP': '23230', 'MZIP4': 'N/A', 'DIRECTIONS': 'NE CORNER OF WEST LEIGH STREET AND NORTH BOULEVARD', 'GEOPREC': 'BLOCKFACE', 'EMP': 15, 'PRODUCT': 'STRUCTURAL STEEL & SHEET METAL FABRICATION', 'SIC': '3441', 'SIC2': '3444', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '332312', 'NAICSDESCR': 'FABRICATED STRUCTURAL METAL MANUFACTURING', 'WEB': 'NOT AVAILABLE', 'LONGITUDE': -77.4675096, 'LATITUDE': 37.5668036}","{'type': 'Point', 'coordinates': [-77.4675096, 37.5668036000001]}"
61e9868bc0bf18925b63a976,Feature,"{'OBJECTID': 27678, 'UNIQUE_ID': 'N/A', 'NAME': 'PINE POINT WOOD PRODUCTS, INC.', 'PHONE': '(763) 428-4301', 'FAX': '(763) 428-4304', 'ADDRESS': '19380 COUNTY ROAD 81', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'OSSEO', 'STATE': 'MN', 'ZIP': '55369', 'ZIP4': 'N/A', 'COUNTY': 'HENNEPIN', 'FIPS': '27053', 'MADDRESS': 'PO BOX 1900', 'MCITY': 'DAYTON', 'MSTATE': 'MN', 'MZIP': '55327', 'MZIP4': '1900', 'DIRECTIONS': 'LOCATED ON THE NE SIDE OF COUNTY ROAD 81 BETWEEN BROCKTON LANE NORTH AND INTERSTATE 94', 'GEOPREC': 'BLOCKFACE', 'EMP': 30, 'PRODUCT': 'WOODEN PALLETS, CRATES, BOXES & LUMBER PROCESSING', 'SIC': '2448', 'SIC2': '2441', 'SIC3': '2421', 'SIC4': 'N/A', 'NAICS': '321920', 'NAICSDESCR': 'WOOD CONTAINER AND PALLET MANUFACTURING', 'WEB': 'NOT AVAILABLE', 'LONGITUDE': -93.5229764, 'LATITUDE': 45.1707158}","{'type': 'Point', 'coordinates': [-93.5229763999999, 45.1707158]}"
61e98693c0bf18925b645e50,Feature,"{'OBJECTID': 73981, 'UNIQUE_ID': 'N/A', 'NAME': 'MULZER CRUSHED STONE, INC.', 'PHONE': '(812) 424-5583', 'FAX': '(812) 424-7781', 'ADDRESS': '900 NW RIVERSIDE DRIVE', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'EVANSVILLE', 'STATE': 'IN', 'ZIP': '47708', 'ZIP4': '1058', 'COUNTY': 'VANDERBURGH', 'FIPS': '18163', 'MADDRESS': 'PO BOX 3596', 'MCITY': 'EVANSVILLE', 'MSTATE': 'IN', 'MZIP': '47734', 'MZIP4': '3596', 'DIRECTIONS': 'APPROXIMATELY 110 YARDS SOUTH OF OHIO STREET ON THE WEST SIDE OF NW RIVERSIDE DRIVE', 'GEOPREC': 'BLOCKFACE', 'EMP': 20, 'PRODUCT': 'SAND, GRAVEL & LIMESTONE', 'SIC': '3281', 'SIC2': 'N/A', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '327991', 'NAICSDESCR': 'CUT STONE AND STONE PRODUCT MANUFACTURING', 'WEB': 'WWW.MULZER.COM', 'LONGITUDE': -87.581452, 'LATITUDE': 37.9739273}","{'type': 'Point', 'coordinates': [-87.5814519999999, 37.9739273000001]}"
61e987144d228f6731f403b0,Feature,"{'OBJECTID': 4967, 'UNIQUE_ID': 'N/A', 'NAME': 'SIERRATHERM PRODUCTION FURNACES', 'PHONE': '(831) 763-0113', 'FAX': '(831) 763-1509', 'ADDRESS': '200 WESTRIDGE DRIVE', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'WATSONVILLE', 'STATE': 'CA', 'ZIP': '95076', 'ZIP4': '4172', 'COUNTY': 'SANTA CRUZ', 'FIPS': '06087', 'MADDRESS': '200 WESTRIDGE DRIVE', 'MCITY': 'WATSONVILLE', 'MSTATE': 'CA', 'MZIP': '95076', 'MZIP4': '4172', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 70, 'PRODUCT': 'INDUSTRIAL FURNACES', 'SIC': '3567', 'SIC2': 'N/A', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '333994', 'NAICSDESCR': 'INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING', 'WEB': 'WWW.SIERRATHERM.COM', 'LONGITUDE': -121.7843594, 'LATITUDE': 36.9135843}","{'type': 'Point', 'coordinates': [-121.7843594, 36.9135843]}"
61e9869ec0bf18925b65423e,Feature,"{'OBJECTID': 132328, 'UNIQUE_ID': 'N/A', 'NAME': 'EQUIPTO', 'PHONE': '(800) 323-0801', 'FAX': '(888) 859-2121', 'ADDRESS': '225 MAIN STREET', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'TATAMY', 'STATE': 'PA', 'ZIP': '18085', 'ZIP4': 'N/A', 'COUNTY': 'NORTHAMPTON', 'FIPS': '42095', 'MADDRESS': 'PO BOX 429', 'MCITY': 'TATAMY', 'MSTATE': 'PA', 'MZIP': '18085', 'MZIP4': '0429', 'DIRECTIONS': 'APPROXIMATELY 80 YARDS WEST OF BUSH KILL STREET ON THE NORTH SIDE OF MAIN STREET', 'GEOPREC': 'BLOCKFACE', 'EMP': 160, 'PRODUCT': 'COMMERCIAL CABINETS & SHELVING, INCLUDING MEZZANINES, WORK CENTERS, MOBILE AISLES, TOOL BOXES & MODULAR DRAWER CABINETS', 'SIC': '2542', 'SIC2': '3496', 'SIC3': '3499', 'SIC4': 'N/A', 'NAICS': '337215', 'NAICSDESCR': 'SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING', 'WEB': 'WWW.EQUIPTO.COM', 'LONGITUDE': -75.2514846, 'LATITUDE': 40.7424489}","{'type': 'Point', 'coordinates': [-75.2514846, 40.7424489]}"
61e98690c0bf18925b6414ad,Feature,"{'OBJECTID': 55129, 'UNIQUE_ID': 'N/A', 'NAME': 'JORGE W CRUZ LOPEZ INCORPORADO HACIENDO NEGOCIO COMO WALLYCO', 'PHONE': '(787) 876-3525', 'FAX': 'NOT AVAILABLE', 'ADDRESS': 'CARRETERA 187', 'ADDRESS2': 'PARQUE INDUSTRIAL MEDIANIA BAJA KILOMETRO 7 4/10', 'CITY': 'LOIZA', 'STATE': 'PR', 'ZIP': '00772', 'ZIP4': 'N/A', 'COUNTY': 'LOIZA', 'FIPS': '72087', 'MADDRESS': 'NOT AVAILABLE', 'MCITY': 'NOT AVAILABLE', 'MSTATE': 'NA', 'MZIP': 'N/A', 'MZIP4': 'N/A', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 0, 'PRODUCT': 'INJECTION-MOLDED PLASTIC PARTS', 'SIC': '3089', 'SIC2': 'N/A', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '326199', 'NAICSDESCR': 'ALL OTHER PLASTICS PRODUCT MANUFACTURING', 'WEB': 'NOT AVAILABLE', 'LONGITUDE': -65.85069, 'LATITUDE': 18.4268353}","{'type': 'Point', 'coordinates': [-65.85069, 18.4268353]}"
61e9872b4d228f6731f5e4c3,Feature,"{'OBJECTID': 128116, 'UNIQUE_ID': 'N/A', 'NAME': 'CAPITOL TOOL & MFG. CO.', 'PHONE': '(717) 938-6165', 'FAX': '(717) 938-5674', 'ADDRESS': '429 OLD YORK ROAD', 'ADDRESS2': 'NOT AVAILABLE', 'CITY': 'NEW CUMBERLAND', 'STATE': 'PA', 'ZIP': '17070', 'ZIP4': '3124', 'COUNTY': 'YORK', 'FIPS': '42133', 'MADDRESS': '429 OLD YORK ROAD', 'MCITY': 'NEW CUMBERLAND', 'MSTATE': 'PA', 'MZIP': '17070', 'MZIP4': '3124', 'DIRECTIONS': 'NOT AVAILABLE', 'GEOPREC': 'BLOCKFACE', 'EMP': 15, 'PRODUCT': 'GENERAL MACHINING JOB SHOP', 'SIC': '3599', 'SIC2': 'N/A', 'SIC3': 'N/A', 'SIC4': 'N/A', 'NAICS': '333514', 'NAICSDESCR': 'SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING', 'WEB': 'NOT AVAILABLE', 'LONGITUDE': -76.83908, 'LATITUDE': 40.189121}","{'type': 'Point', 'coordinates': [-76.83908, 40.1891210000001]}"
