_id,type,properties,geometry
61e987ca2a70facd8cc9bb1a,Feature,"{'FID': 15, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Skelly-Belvieu', 'Shape_Leng': 7.5371173068, 'Shape__Length': 899863.084099493}","{'type': 'LineString', 'coordinates': [[-101.2369554, 35.4569539720001], [-100.43427564, 34.8283685050001], [-99.34132248, 34.526484082], [-97.72499556, 32.179858111], [-95.3075268, 31.419229585]]}"
61e987ca2a70facd8cc9bb42,Feature,"{'FID': 41, 'Opername': 'BUCKEYE PARTNERS', 'Pipename': 'Buckeye', 'Shape_Leng': 2.49754509507, 'Shape__Length': 294105.438807835}","{'type': 'LineString', 'coordinates': [[-81.2300147999999, 41.2742265410001], [-81.6304975199999, 41.4649755820001], [-82.1778714, 41.2815359040001], [-82.83578364, 41.258032212], [-83.51996616, 41.7069842110001]]}"
61e987ca2a70facd8cc9bb6c,Feature,"{'FID': 83, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Tri-States NGL pipeline', 'Shape_Leng': 2.54391217604, 'Shape__Length': 291591.386541841}","{'type': 'LineString', 'coordinates': [[-88.172563285, 30.3896486130001], [-88.173870401, 30.400750583], [-88.1764031439999, 30.4222624010001], [-88.375493993, 30.434823501], [-88.39491749, 30.459940848], [-88.4732650339999, 30.411618203], [-88.4729144519999, 30.4199865190001], [-88.507681029, 30.4423482070001], [-88.547877532, 30.5498914880001], [-89.137866265, 30.426449615], [-89.672012442, 30.426449615], [-89.990072212, 30.399229518], [-90.053198579, 30.348957097], [-90.190479554, 30.24458522], [-90.363949776, 30.075779321], [-90.3997955309999, 30.0843511740001], [-90.423455314, 30.058459649]]}"
61e987ca2a70facd8cc9bb27,Feature,"{'FID': 9, 'Opername': 'BUCKEYE PARTNERS', 'Pipename': 'Buckeye', 'Shape_Leng': 4.04408733473, 'Shape__Length': 474379.818373566}","{'type': 'LineString', 'coordinates': [[-79.95184956, 40.3152705950001], [-80.1917557199999, 40.5819765480001], [-80.89650972, 41.215506072], [-81.2300147999999, 41.2742265410001], [-83.62904868, 41.260370676]]}"
61e987ca2a70facd8cc9bb39,Feature,"{'FID': 38, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'West Leg', 'Shape_Leng': 10.5950883916, 'Shape__Length': 1289686.40469943}","{'type': 'LineString', 'coordinates': [[-89.180099693, 42.719757379], [-90.552336, 42.481434999], [-91.385203538, 41.628426389], [-91.9456635339999, 40.907718673], [-92.0963869999999, 40.60183], [-92.419843113, 39.7169752520001], [-92.43716807, 39.5237246390001], [-92.5378272, 39.457777455], [-93.328438016, 39.480197864], [-94.6157415339999, 39.409375439], [-94.8890949999999, 39.4055259990001], [-95.136338754, 39.22602041], [-95.4393128359999, 39.000610985], [-95.918547, 38.869859], [-96.610245343, 38.7492768170001], [-97.0592938409999, 38.581395935], [-97.817787321, 38.380487265]]}"
61e987ca2a70facd8cc9bb67,Feature,"{'FID': 74, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'East Leg - Clinton\\Morris', 'Shape_Leng': 3.12265850835, 'Shape__Length': 353505.126286388}","{'type': 'LineString', 'coordinates': [[-91.36247, 41.62021], [-90.63275, 41.774459999], [-90.304821376, 41.7999117730001], [-90.231951422, 41.7419800440001], [-90.117119535, 41.71757075], [-90.0086323099999, 41.707872154], [-89.6237100389999, 41.6119292750001], [-89.329276208, 41.5618825450001], [-89.0753350909999, 41.4977460800001], [-88.744947955, 41.4714319380001], [-88.628745741, 41.439571222], [-88.43548143, 41.415215155], [-88.374928669, 41.4155258380001], [-88.3111607869999, 41.4107366490001]]}"
61e987ca2a70facd8cc9bb49,Feature,"{'FID': 37, 'Opername': 'ONEOK', 'Pipename': 'Overland Pass', 'Shape_Leng': 13.4484195941, 'Shape__Length': 1562351.57850011}","{'type': 'LineString', 'coordinates': [[-97.8133157999999, 38.3618725120001], [-98.0657477999999, 38.3673204200001], [-98.27948952, 38.5086507940001], [-98.99695404, 38.7055121280001], [-99.54059148, 38.8162082540001], [-100.55042028, 39.295050135], [-102.0731148, 39.984562864], [-104.25144996, 40.7046644610001], [-105.65950356, 41.323145276], [-106.522111857, 41.789737061], [-106.764643252, 41.7798792300001], [-106.804112104, 41.756327572], [-107.512043374, 41.7637130740001], [-107.595277879, 41.7061121740001], [-107.82513279, 41.6500338980001], [-108.555762392, 41.589002339], [-108.621404696, 41.486091853], [-109.313322479, 41.456917059], [-109.440396155, 41.4646293010001], [-109.529579934, 41.5236930940001], [-109.832652184, 41.541201933], [-109.855266869, 41.528295804], [-109.958203903, 41.5288862270001], [-109.980407457, 41.5539624250001], [-110.271618665, 41.6621900110001], [-110.351476279, 41.7527040310001], [-110.344558642, 41.7766548930001]]}"
61e987ca2a70facd8cc9bb33,Feature,"{'FID': 36, 'Opername': 'BUCKEYE PARTNERS', 'Pipename': 'Buckeye', 'Shape_Leng': 6.87248116666, 'Shape__Length': 875728.112110458}","{'type': 'LineString', 'coordinates': [[-83.73629664, 43.597787908], [-83.311902, 42.381416599], [-83.49794352, 42.0457770450001], [-83.50492572, 41.6809273010001], [-83.6117532, 41.2932576630001], [-83.73884868, 41.026390276], [-84.06137196, 40.6949096970001], [-85.49998164, 40.911393294], [-86.37499152, 41.111223894], [-87.67474128, 41.358091707]]}"
61e987ca2a70facd8cc9bb24,Feature,"{'FID': 10, 'Opername': 'BUCKEYE PARTNERS', 'Pipename': 'Buckeye', 'Shape_Leng': 1.5197309835, 'Shape__Length': 191868.321919769}","{'type': 'LineString', 'coordinates': [[-84.05789688, 40.6948740770001], [-83.78041824, 40.5852487920001], [-83.073302056, 39.934452272], [-82.890609296, 39.748940926]]}"
61e987ca2a70facd8cc9bb73,Feature,"{'FID': 92, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Shoup\\Mont Belvieu', 'Shape_Leng': 3.66981268698, 'Shape__Length': 431192.220510535}","{'type': 'LineString', 'coordinates': [[-97.4509653329999, 27.8045978320001], [-97.520715982, 27.8009072680001], [-97.514361266, 27.830004455], [-97.45810217, 27.886659791], [-97.233556909, 27.8930254790001], [-97.256589121, 28.0963976510001], [-96.8097642119999, 28.5950524190001], [-96.691544634, 28.716402025], [-96.623100315, 28.809897526], [-96.450461708, 28.861654286], [-96.166397762, 29.002757495], [-95.85008872, 29.152161777], [-95.469289485, 29.3767529520001], [-95.271212464, 29.493095614], [-95.119199866, 29.5091324110001], [-95.086954769, 29.6293273640001], [-95.066481692, 29.7187131640001], [-94.936101537, 29.838076981], [-94.8960048, 29.8482827620001]]}"
