_id,type,properties,geometry
61e988cf367350dec314b58c,Feature,"{'OBJECTID': 701, 'GCOMPID': 'GCOMP399', 'NAME': 'CARLISLE', 'ADDRESS': '2397 HILLMAN RD', 'CITY': 'CARLISLE', 'STATE': 'AR', 'ZIP': '72024', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'LONOKE', 'COUNTYFIPS': '05085', 'COUNTRY': 'USA', 'LATITUDE': 34.672431943, 'LONGITUDE': -91.797165025, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/10/20 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://pipelines.centerpointenergy.com/', 'PIPECO': 'CENTERPOINT ENERGY - MISSISSIPPI RIVER TRANSMISSION, LLC', 'COMPID': '25', 'OPERATOR': 'CENTERPOINT ENERGY - MISSISSIPPI RIVER TRANSMISSION, LLC', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 8, 'CERT_HP': 8600, 'PLANT_COST': 8434927, 'EXP_FUEL': 274605, 'EXP_OTHER': 420808, 'GAS_COMPRE': 99733, 'OP_COMP_HR': 10898, 'OP_NUM_COM': 5, 'OP_DATE_PE': None, 'EXP_POWER': 0, 'ELEC_COMPR': 0}","{'type': 'Point', 'coordinates': [-91.79716502499997, 34.67243194300005]}"
61e988d0367350dec314b857,Feature,"{'OBJECTID': 1363, 'GCOMPID': 'GCOMP995', 'NAME': 'COLORADO - STATE LINE', 'ADDRESS': 'COUNTY ROAD 21N; SEC 21 T12N R95W', 'CITY': 'MAYBELL', 'STATE': 'CO', 'ZIP': '81640', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'MOFFAT', 'COUNTYFIPS': '08081', 'COUNTRY': 'USA', 'LATITUDE': 40.991170725, 'LONGITUDE': -108.073787564, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/11 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://www.questarpipeline.com/', 'PIPECO': 'QUESTAR PIPELINE COMPANY', 'COMPID': '55', 'OPERATOR': 'QUESTAR PIPELINE COMPANY', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 1, 'CERT_HP': 1085, 'PLANT_COST': 1073119, 'EXP_FUEL': 686986, 'EXP_OTHER': 65438, 'GAS_COMPRE': 263671, 'OP_COMP_HR': 20, 'OP_NUM_COM': 0, 'OP_DATE_PE': None, 'EXP_POWER': 0, 'ELEC_COMPR': 0}","{'type': 'Point', 'coordinates': [-108.07378756399999, 40.991170725000075]}"
61e988cf367350dec314b4fc,Feature,"{'OBJECTID': 564, 'GCOMPID': 'GCOMP275', 'NAME': '#13 - MARTIN COUNTY', 'ADDRESS': '1890 60TH AVENUE', 'CITY': 'TRIMONT', 'STATE': 'MN', 'ZIP': '56176', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'MARTIN', 'COUNTYFIPS': '27091', 'COUNTRY': 'USA', 'LATITUDE': 43.760681955, 'LONGITUDE': -94.752650899, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/15 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://www.northernborder.com/', 'PIPECO': 'NORTHERN BORDER PIPELINE COMPANY', 'COMPID': '89', 'OPERATOR': 'NORTHERN BORDER PIPELINE COMPANY', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 1, 'CERT_HP': 38000, 'PLANT_COST': 22657594, 'EXP_FUEL': 5595419, 'EXP_OTHER': 212554, 'GAS_COMPRE': 1931594, 'OP_COMP_HR': 8582, 'OP_NUM_COM': 1, 'OP_DATE_PE': '2012/02/03 00:00:00', 'EXP_POWER': 0, 'ELEC_COMPR': 0}","{'type': 'Point', 'coordinates': [-94.75265089899995, 43.76068195500005]}"
61e988cf367350dec314b561,Feature,"{'OBJECTID': 660, 'GCOMPID': 'GCOMP361', 'NAME': 'INDEPENDENCE', 'ADDRESS': '2210 COUNTY RD. 22', 'CITY': 'INDEPENDENCE', 'STATE': 'NY', 'ZIP': '14806', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'ALLEGANY', 'COUNTYFIPS': '36003', 'COUNTRY': 'USA', 'LATITUDE': 42.094525, 'LONGITUDE': -77.780484, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/16 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://www.natfuel.com/', 'PIPECO': 'NATIONAL FUEL GAS SUPPLY CORPORATION', 'COMPID': '16', 'OPERATOR': 'NATIONAL FUEL GAS SUPPLY CORPORATION', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 4, 'CERT_HP': 5000, 'PLANT_COST': 13615326, 'EXP_FUEL': 299623, 'EXP_OTHER': 673014, 'GAS_COMPRE': 114227, 'OP_COMP_HR': 11818, 'OP_NUM_COM': 2, 'OP_DATE_PE': '2012/01/13 00:00:00', 'EXP_POWER': 36393, 'ELEC_COMPR': 361000}","{'type': 'Point', 'coordinates': [-77.780484, 42.094525]}"
61e988d0367350dec314b8b2,Feature,"{'OBJECTID': 1513, 'GCOMPID': 'GCOMP1513', 'NAME': 'ANADARKO CANADA CORPORATION (TABER B)', 'ADDRESS': 'RANGE ROAD 141; 16-23-012-14-W4', 'CITY': 'NOT AVAILABLE', 'STATE': 'AB', 'ZIP': 'NOT AVAILABLE', 'ZIP4': 'NOT APPLICABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'TABER', 'COUNTYFIPS': 'NOT APPLICABLE', 'COUNTRY': 'CAN', 'LATITUDE': 50.015581, 'LONGITUDE': -111.805806, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'ALBERTA ENERGY REGULATOR', 'SOURCEDATE': '2020/05/05 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/05/05 00:00:00', 'WEBSITE': 'https://www.aer.ca/', 'PIPECO': 'CANADIAN NATURAL RESOURCES LIMITED', 'COMPID': '0HE9', 'OPERATOR': 'CANADIAN NATURAL RESOURCES LIMITED', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': -999, 'CERT_HP': -999, 'PLANT_COST': -999, 'EXP_FUEL': -999, 'EXP_OTHER': -999, 'GAS_COMPRE': -999, 'OP_COMP_HR': -999, 'OP_NUM_COM': -999, 'OP_DATE_PE': None, 'EXP_POWER': -999, 'ELEC_COMPR': -999}","{'type': 'Point', 'coordinates': [-111.805806, 50.015581]}"
61e988cf367350dec314b347,Feature,"{'OBJECTID': 126, 'GCOMPID': 'GCOMP1110', 'NAME': 'SENECA', 'ADDRESS': 'HWY 28 & HWY 33', 'CITY': 'SENECA ROCKS', 'STATE': 'WV', 'ZIP': '26884', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'PENDLETON', 'COUNTYFIPS': '54071', 'COUNTRY': 'USA', 'LATITUDE': 38.848854488, 'LONGITUDE': -79.375991622, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/28 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://www.columbiapipeinfo.com/', 'PIPECO': 'COLUMBIA GAS TRANSMISSION,LLC', 'COMPID': '21', 'OPERATOR': 'COLUMBIA GAS TRANSMISSION,LLC', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 4, 'CERT_HP': 35350, 'PLANT_COST': 42482913, 'EXP_FUEL': 557176, 'EXP_OTHER': 398761, 'GAS_COMPRE': 182992, 'OP_COMP_HR': 2451, 'OP_NUM_COM': 3, 'OP_DATE_PE': '2012/02/13 00:00:00', 'EXP_POWER': 32891, 'ELEC_COMPR': -999}","{'type': 'Point', 'coordinates': [-79.37599162199996, 38.84885448800003]}"
61e988cf367350dec314b5d5,Feature,"{'OBJECTID': 779, 'GCOMPID': 'GCOMP469', 'NAME': 'TUMWATER', 'ADDRESS': '2944 93RD AVE.', 'CITY': 'OLYMPIA', 'STATE': 'WA', 'ZIP': '98503', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'THURSTON', 'COUNTYFIPS': '53067', 'COUNTRY': 'USA', 'LATITUDE': 46.955632041, 'LONGITUDE': -122.946169147, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/14 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://www.northwest.williams.com/', 'PIPECO': 'NORTHWEST PIPELINE GP', 'COMPID': '37', 'OPERATOR': 'NORTHWEST PIPELINE GP', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 2, 'CERT_HP': 6043, 'PLANT_COST': 990734, 'EXP_FUEL': 3596, 'EXP_OTHER': 200712, 'GAS_COMPRE': 1320, 'OP_COMP_HR': 0, 'OP_NUM_COM': 0, 'OP_DATE_PE': None, 'EXP_POWER': 0, 'ELEC_COMPR': 0}","{'type': 'Point', 'coordinates': [-122.94616914699998, 46.95563204100006]}"
61e988d0367350dec314b6ca,Feature,"{'OBJECTID': 1027, 'GCOMPID': 'GCOMP692', 'NAME': 'COPLEY RUN', 'ADDRESS': '544 COPLEY RUN ROAD', 'CITY': 'WESTON', 'STATE': 'WV', 'ZIP': '26452', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'LEWIS', 'COUNTYFIPS': '54041', 'COUNTRY': 'USA', 'LATITUDE': 38.980936694, 'LONGITUDE': -80.522230114, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE', 'SOURCEDATE': '2015/09/18 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'http://equitrans.eqtmidstreampartners.com/', 'PIPECO': 'EQUITRANS, L.P.', 'COMPID': '24', 'OPERATOR': 'EQUITRANS, L.P.', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 3, 'CERT_HP': 6600, 'PLANT_COST': 11670973, 'EXP_FUEL': 323558, 'EXP_OTHER': 139618, 'GAS_COMPRE': 117954, 'OP_COMP_HR': 24390, 'OP_NUM_COM': 2, 'OP_DATE_PE': '2012/05/02 00:00:00', 'EXP_POWER': 359303, 'ELEC_COMPR': 15391728}","{'type': 'Point', 'coordinates': [-80.52223011399997, 38.980936694000036]}"
61e988cf367350dec314b40f,Feature,"{'OBJECTID': 321, 'GCOMPID': 'GCOMP1287', 'NAME': '577 LEVANT', 'ADDRESS': 'S24-T5S-R35W', 'CITY': 'MCDONALD', 'STATE': 'KS', 'ZIP': '67745', 'ZIP4': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'RAWLINS', 'COUNTYFIPS': '20153', 'COUNTRY': 'USA', 'LATITUDE': 39.610761, 'LONGITUDE': -101.204617, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'FERC FORM 2, IMAGERY', 'SOURCEDATE': '2015/09/09 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2016/03/14 00:00:00', 'WEBSITE': 'https://csi.sscgp.com/', 'PIPECO': 'SOUTHERN STAR CENTRAL GAS PIPELINE, INC.', 'COMPID': '43', 'OPERATOR': 'SOUTHERN STAR CENTRAL GAS PIPELINE, INC.', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': 1, 'CERT_HP': 2400, 'PLANT_COST': 4104571, 'EXP_FUEL': 353305, 'EXP_OTHER': 139508, 'GAS_COMPRE': 137515, 'OP_COMP_HR': 7226, 'OP_NUM_COM': 1, 'OP_DATE_PE': '2012/06/03 00:00:00', 'EXP_POWER': 0, 'ELEC_COMPR': 0}","{'type': 'Point', 'coordinates': [-101.204617, 39.610761]}"
61e988d0367350dec314b89b,Feature,"{'OBJECTID': 1491, 'GCOMPID': 'GCOMP1491', 'NAME': 'CRESCENT POINT ENERGY CORP. (ARLINGTON E)', 'ADDRESS': '16-27-007-19-W3', 'CITY': 'NOT AVAILABLE', 'STATE': 'SK', 'ZIP': 'T2P 1G1', 'ZIP4': 'NOT APPLICABLE', 'TYPE': 'NATURAL GAS COMPRESSOR STATION', 'STATUS': 'IN SERVICE', 'COUNTY': 'ARLINGTON', 'COUNTYFIPS': 'NOT APPLICABLE', 'COUNTRY': 'CAN', 'LATITUDE': 49.595436, 'LONGITUDE': -108.493779, 'NAICS_CODE': '486210', 'NAICS_DESC': 'PIPELINE TRANSPORTATION OF NATURAL GAS', 'SOURCE': 'GOVERNMENT OF SASKATCHEWAN', 'SOURCEDATE': '2020/05/05 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/05/05 00:00:00', 'WEBSITE': 'https://www.saskatchewan.ca/', 'PIPECO': 'CRESCENT POINT ENERGY CORP.', 'COMPID': '11609', 'OPERATOR': 'CRESCENT POINT ENERGY CORP.', 'POSREL': 'WITHIN 40 FEET', 'NUM_UNITS': -999, 'CERT_HP': -999, 'PLANT_COST': -999, 'EXP_FUEL': -999, 'EXP_OTHER': -999, 'GAS_COMPRE': -999, 'OP_COMP_HR': -999, 'OP_NUM_COM': -999, 'OP_DATE_PE': '2012/03/01 00:00:00', 'EXP_POWER': -999, 'ELEC_COMPR': -999}","{'type': 'Point', 'coordinates': [-108.493779, 49.595436]}"
