_id,type,geometry,properties,id
5f16543c4b8c2a9213073ae9,Feature,"{'type': 'LineString', 'coordinates': [[-96.27647, 31.67922], [-96.23777, 31.67922], [-96.23668, 31.67427], [-96.23613, 31.66932], [-96.23232, 31.66482], [-96.23014, 31.66437], [-96.22632, 31.66392], [-96.22087, 31.66437], [-96.21542, 31.66572], [-96.2147, 31.66603]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Enbridge Pipelines (East Texas)', 'Shape_Leng': 0.07259456871, 'Shape__Len': 8354.1476392039}",33143
5f16543a4b8c2a9213070a9d,Feature,"{'type': 'LineString', 'coordinates': [[-120.71526, 35.52378], [-120.75085, 35.5015]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'California Gas Transmission Co.', 'Shape_Leng': 0.04197931681, 'Shape__Len': 4996.84217353986}",20778
5f16543c4b8c2a9213073069,Feature,,"{'TYPEPIPE': 'Interstate', 'Operator': 'Tallgrass Interstate Gas Transmission', 'Shape_Leng': 0.18058454844, 'Shape__Len': None}",30426
5f16543b4b8c2a92130713af,Feature,"{'type': 'LineString', 'coordinates': [[-93.28289, 33.1938], [-93.28245, 33.19672], [-93.28227, 33.19673], [-93.28145, 33.19938], [-93.28098, 33.20208], [-93.28096, 33.20437], [-93.28123, 33.20783], [-93.28131, 33.20834], [-93.2814, 33.20876], [-93.28169, 33.20999], [-93.28208, 33.21124], [-93.28271, 33.21445], [-93.28301, 33.21636], [-93.28327, 33.22348], [-93.28356, 33.22766], [-93.28334, 33.23894], [-93.28339, 33.24379], [-93.28346, 33.2468], [-93.28359, 33.24741], [-93.28392, 33.24801], [-93.28401, 33.24821], [-93.28399, 33.24916], [-93.28397, 33.25043], [-93.284, 33.25499], [-93.28386, 33.25675], [-93.28362, 33.25979], [-93.2835, 33.26099], [-93.2831, 33.26427], [-93.2827, 33.2668], [-93.28265, 33.26711], [-93.28264, 33.26847], [-93.2826, 33.26934], [-93.28217, 33.27315], [-93.28204, 33.27358], [-93.28183, 33.27585], [-93.28207, 33.28259], [-93.28212, 33.28343], [-93.28216, 33.28483], [-93.28221, 33.28668], [-93.28049, 33.29526], [-93.27903, 33.30433], [-93.27879, 33.30563], [-93.27836, 33.30755], [-93.2782, 33.3083], [-93.27809, 33.30872], [-93.27733, 33.31196], [-93.27709, 33.31286], [-93.27675, 33.31405], [-93.27636, 33.31524], [-93.27631, 33.3168], [-93.27614, 33.32069], [-93.27536, 33.32533], [-93.27513, 33.32656], [-93.27406, 33.33055], [-93.27348, 33.33459], [-93.27289, 33.33687], [-93.27153, 33.34161], [-93.27147, 33.34181], [-93.27142, 33.342], [-93.27088, 33.34388], [-93.27083, 33.34427], [-93.27093, 33.34701], [-93.2703, 33.3491], [-93.26935, 33.3511], [-93.26828, 33.35703], [-93.26682, 33.36895], [-93.26641, 33.3737], [-93.26577, 33.37673], [-93.26377, 33.39287], [-93.26241, 33.40269], [-93.26207, 33.40518], [-93.26202, 33.4061], [-93.26156, 33.40836], [-93.2613, 33.41007], [-93.26111, 33.41119], [-93.26074, 33.41343], [-93.2602, 33.41656], [-93.25987, 33.42728], [-93.25947, 33.43057], [-93.25915, 33.43268], [-93.25913, 33.44468], [-93.2589, 33.44995], [-93.25922, 33.4582], [-93.25934, 33.4637], [-93.25927, 33.46397], [-93.25941, 33.47003], [-93.25966, 33.47368], [-93.25963, 33.47407], [-93.25944, 33.48218], [-93.25935, 33.48313], [-93.25914, 33.48714], [-93.25896, 33.48857], [-93.25763, 33.49976], [-93.25739, 33.50231], [-93.2573, 33.50353], [-93.25688, 33.50579], [-93.25686, 33.50647], [-93.25597, 33.51744], [-93.256, 33.52205], [-93.256, 33.52408], [-93.25606, 33.52633], [-93.25611, 33.53011], [-93.25605, 33.53177], [-93.25599, 33.53389], [-93.25596, 33.53441], [-93.25521, 33.54041], [-93.25528, 33.54071], [-93.25611, 33.54311], [-93.25506, 33.54855], [-93.25373, 33.5549], [-93.25356, 33.55672], [-93.25348, 33.55724], [-93.25328, 33.55804], [-93.2512, 33.56591], [-93.25006, 33.57319], [-93.24933, 33.57736], [-93.24928, 33.57761], [-93.2492, 33.58117], [-93.24888, 33.58505], [-93.24799, 33.59332], [-93.24724, 33.59777], [-93.24689, 33.60141], [-93.24665, 33.60313], [-93.24683, 33.60554], [-93.24674, 33.60848], [-93.24644, 33.61057], [-93.24578, 33.61894], [-93.24524, 33.6266], [-93.24532, 33.63077], [-93.24504, 33.63649], [-93.24459, 33.63765], [-93.24431, 33.63833], [-93.24306, 33.6464], [-93.24235, 33.65211], [-93.24206, 33.6544], [-93.2414, 33.65997], [-93.24082, 33.6643], [-93.24117, 33.66782], [-93.24121, 33.66856], [-93.24148, 33.67084], [-93.24141, 33.67248], [-93.24101, 33.68008], [-93.24103, 33.68056], [-93.24101, 33.68174], [-93.2399, 33.6966], [-93.23966, 33.69989], [-93.23967, 33.70448], [-93.23965, 33.70652], [-93.23905, 33.71344], [-93.23825, 33.72354], [-93.23823, 33.72735], [-93.23781, 33.73773], [-93.23782, 33.73992], [-93.2374, 33.74668], [-93.23772, 33.75006], [-93.23729, 33.75597], [-93.23758, 33.76142], [-93.23761, 33.76256], [-93.23735, 33.76605], [-93.23726, 33.76737], [-93.23708, 33.76941], [-93.23552, 33.77809], [-93.23554, 33.77932], [-93.23555, 33.77974], [-93.23558, 33.7803], [-93.23558, 33.78196], [-93.23563, 33.78653], [-93.23498, 33.7926], [-93.23488, 33.79336], [-93.23492, 33.79358], [-93.23482, 33.79468], [-93.23475, 33.79815], [-93.23459, 33.80156], [-93.23427, 33.80548], [-93.23399, 33.80819], [-93.23314, 33.81415], [-93.23088, 33.82397], [-93.23031, 33.82772], [-93.23036, 33.82889], [-93.23003, 33.83065], [-93.22869, 33.83567], [-93.22833, 33.83695], [-93.2282, 33.83745], [-93.22709, 33.84133], [-93.22685, 33.84221], [-93.22527, 33.84755], [-93.21964, 33.86895], [-93.21649, 33.87707], [-93.21477, 33.88336], [-93.21481, 33.88502], [-93.21463, 33.88589], [-93.21074, 33.89054], [-93.20899, 33.89205], [-93.20723, 33.89373], [-93.20649, 33.89461], [-93.20312, 33.89901], [-93.19728, 33.90628], [-93.19624, 33.90793], [-93.19195, 33.91346], [-93.1787, 33.93042], [-93.17145, 33.93923], [-93.16201, 33.95117], [-93.15856, 33.9557], [-93.1485, 33.96906], [-93.14369, 33.9751], [-93.14026, 33.97945], [-93.13758, 33.9833], [-93.13734, 33.98385], [-93.13709, 33.98442], [-93.137, 33.98448], [-93.13625, 33.98516], [-93.1332, 33.9891], [-93.12427, 34.00025], [-93.12336, 34.00142], [-93.11842, 34.00735], [-93.11727, 34.00908], [-93.11562, 34.01106], [-93.11077, 34.01788], [-93.10898, 34.0207], [-93.10836, 34.02107], [-93.10778, 34.02139], [-93.10718, 34.02224], [-93.10621, 34.02351], [-93.10395, 34.02658], [-93.1006, 34.03084], [-93.09847, 34.03312], [-93.09814, 34.0335], [-93.09806, 34.03367], [-93.09783, 34.03394], [-93.0977, 34.03403], [-93.09506, 34.03729], [-93.09349, 34.03991], [-93.09037, 34.0433], [-93.09024, 34.04344], [-93.08987, 34.04385], [-93.08952, 34.04444], [-93.08776, 34.0467], [-93.08262, 34.05337], [-93.08123, 34.05554], [-93.08099, 34.05603], [-93.07803, 34.06247], [-93.07396, 34.06997], [-93.07165, 34.07453], [-93.07006, 34.07776], [-93.06878, 34.08025], [-93.06803, 34.08139], [-93.06745, 34.08221], [-93.06543, 34.08543], [-93.04618, 34.10915], [-93.04212, 34.11417], [-93.0411, 34.11528], [-93.03842, 34.11802], [-93.03636, 34.11936], [-93.03585, 34.11971], [-93.03579, 34.11976], [-93.02365, 34.12885], [-92.9909, 34.15422], [-92.9904, 34.15463], [-92.99034, 34.15486], [-92.98768, 34.15709], [-92.98559, 34.15883], [-92.96024, 34.18296], [-92.95768, 34.18506], [-92.94314, 34.20029], [-92.9139, 34.22984], [-92.90633, 34.23754], [-92.89826, 34.24545], [-92.89615, 34.24706], [-92.88681, 34.25652], [-92.88629, 34.25703], [-92.88034, 34.26293], [-92.87649, 34.26775], [-92.85879, 34.28442], [-92.85805, 34.28513], [-92.85582, 34.28708], [-92.84915, 34.29342], [-92.84773, 34.29481], [-92.84544, 34.29706], [-92.84182, 34.30062], [-92.84059, 34.30181], [-92.83917, 34.30328], [-92.83776, 34.30474], [-92.83471, 34.30777], [-92.83153, 34.31077], [-92.82936, 34.31297], [-92.82718, 34.31516], [-92.82387, 34.31843], [-92.82296, 34.31906], [-92.82139, 34.31964], [-92.82014, 34.32108], [-92.81954, 34.32183], [-92.81273, 34.32818], [-92.80346, 34.33709], [-92.80348, 34.33729], [-92.80091, 34.3397], [-92.79851, 34.34154], [-92.79304, 34.34667], [-92.78953, 34.34999], [-92.78773, 34.35181], [-92.78765, 34.352], [-92.78651, 34.35309], [-92.78359, 34.35588], [-92.77856, 34.3609], [-92.77695, 34.36273], [-92.77566, 34.36413], [-92.77456, 34.36533], [-92.76678, 34.37325], [-92.76657, 34.37355], [-92.7665, 34.37356], [-92.76586, 34.37375], [-92.76576, 34.37384]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Center Point Energy Gas Transmission Co.', 'Shape_Leng': 1.367268362, 'Shape__Len': 176144.010695914}",23075
5f16543b4b8c2a92130724f0,Feature,"{'type': 'LineString', 'coordinates': [[-105.58157, 46.64064], [-106.06553, 46.39647]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Williston Basin Interstate PL Co.', 'Shape_Leng': 0.54206397961, 'Shape__Len': 66803.0929773436}",27521
5f16543b4b8c2a9213071ac8,Feature,"{'type': 'LineString', 'coordinates': [[-93.44205, 35.48122], [-93.44382, 35.48021]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Center Point Energy Gas Transmission Co.', 'Shape_Leng': 0.00203890093, 'Shape__Len': 240.940995762088}",24879
5f16543a4b8c2a921306eda8,Feature,"{'type': 'LineString', 'coordinates': [[-90.39892, 38.34444], [-90.39891, 38.34444], [-90.3989, 38.34443], [-90.39886, 38.34442], [-90.39805, 38.34442], [-90.39782, 38.34442], [-90.3978, 38.34442], [-90.39742, 38.34442], [-90.39741, 38.34442], [-90.3974, 38.34441], [-90.39739, 38.34441], [-90.39737, 38.3444], [-90.39719, 38.3444], [-90.39712, 38.3444], [-90.39699, 38.3444], [-90.39698, 38.3444], [-90.39682, 38.3444], [-90.39667, 38.3444], [-90.39652, 38.3444], [-90.39637, 38.34441], [-90.39614, 38.34441], [-90.39613, 38.34441], [-90.39578, 38.34441], [-90.39564, 38.34441], [-90.39561, 38.34441], [-90.39561, 38.34439]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Mississippi River Transmission Corp', 'Shape_Leng': 0.0033409721, 'Shape__Len': 373.224877965068}",13370
5f1654394b8c2a921306d5b5,Feature,"{'type': 'LineString', 'coordinates': [[-93.91315, 28.10193], [-93.93134, 28.10345], [-94.06641, 28.092], [-94.06819, 28.08902], [-94.07079, 28.07232]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Gulf South Pipeline Co.', 'Shape_Leng': 0.17418360184, 'Shape__Len': 19691.4940118008}",7238
5f16543c4b8c2a9213073596,Feature,"{'type': 'LineString', 'coordinates': [[-76.5391, 42.1975], [-76.48995, 42.19933]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Millennium Pipeline Co.', 'Shape_Leng': 0.0491858692, 'Shape__Len': 5478.44351489253}",31784
5f16543b4b8c2a9213072e56,Feature,"{'type': 'LineString', 'coordinates': [[-95.34976, 38.16448], [-95.27735, 38.42823]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Southern Star Central Gas PL Co.', 'Shape_Leng': 0.27350462143, 'Shape__Len': 38268.6470753823}",29924
