_id,type,properties,geometry
61f02d6fa810b1150d2bffec,Feature,"{'OBJECTID': 435, 'NGPPID': 'NGPP480605', 'NAME': 'HOUSTON CENTRAL GAS PLANT', 'ADDRESS': '1650 CR 255 SOUTH', 'CITY': 'SHERIDAN', 'STATE': 'TX', 'ZIP': '77475', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(979) 234-2951', 'TYPE': 'NATURAL GAS PROCESSING PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 45, 'COUNTY': 'COLORADO', 'COUNTYFIPS': '48089', 'COUNTRY': 'USA', 'LATITUDE': 29.469755, 'LONGITUDE': -96.622991, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'CORPORATE WEBSITE, EIA-757, NATURAL GAS PROCESSING PLANT SURVEY, EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2019/01/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/10 00:00:00', 'WEBSITE': 'www.kindermorgan.com', 'FACID': '100000002338', 'COMPNAME': 'KINDER MORGAN MIDSTREAM', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'COPANO PROCESSING LLC', 'OPERADDR': '1001 LOUISIANA STREET, SUITE 1000', 'OPERCITY': 'HOUSTON', 'OPERSTATE': 'TX', 'OPERCNTRY': 'USA', 'OPERZIP': '77002', 'OPERPHONE': '(713) 369-9000', 'OPERURL': 'www.kindermorgan.com', 'GASCAP': 1000, 'PROCAMTBLS': 6220000, 'BASIN': 'WESTERN GULF', 'PLANTFLOW': 707, 'BTUCONTENT': -999, 'GASSTORCAP': -999, 'LIQSTORCAP': 24608, 'RMP_ID': '1000032759', 'EPA_ID': '110000914146'}","{'type': 'Point', 'coordinates': [-96.622991, 29.469755]}"
61f02d6fa810b1150d2bfef7,Feature,"{'OBJECTID': 211, 'NGPPID': 'NGPP350427', 'NAME': 'CARLSBAD GAS PLANT', 'ADDRESS': '260 POTASH MINE ROAD', 'CITY': 'LOVING', 'STATE': 'NM', 'ZIP': '88256', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(303) 595-3331', 'TYPE': 'NATURAL GAS LIQUIDS EXTRACTION PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 7, 'COUNTY': 'EDDY', 'COUNTYFIPS': '35015', 'COUNTRY': 'USA', 'LATITUDE': 32.317412, 'LONGITUDE': -104.076307, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'CORPORATE WEBSITE, EIA-757, NATURAL GAS PROCESSING PLANT SURVEY, EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2019/01/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/15 00:00:00', 'WEBSITE': 'www.dcpmidstream.com', 'FACID': '100000157171', 'COMPNAME': 'DCP MIDSTREAM, LP', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'DCP MIDSTREAM, LP', 'OPERADDR': '370 17TH STREET, SUITE 2500', 'OPERCITY': 'DENVER', 'OPERSTATE': 'CO', 'OPERCNTRY': 'USA', 'OPERZIP': '80202-5609', 'OPERPHONE': '(303) 595-3331', 'OPERURL': 'www.dcpmidstream.com/', 'GASCAP': 40, 'PROCAMTBLS': 188549, 'BASIN': 'PERMIAN', 'PLANTFLOW': 23, 'BTUCONTENT': 1150, 'GASSTORCAP': -999, 'LIQSTORCAP': 100, 'RMP_ID': '1000017836', 'EPA_ID': '110009458372'}","{'type': 'Point', 'coordinates': [-104.076307, 32.317412]}"
61f02d6fa810b1150d2bff4c,Feature,"{'OBJECTID': 304, 'NGPPID': 'NGPP400485', 'NAME': 'AMBER GAS PLANT', 'ADDRESS': '1778 CR 1280', 'CITY': 'AMBER', 'STATE': 'OK', 'ZIP': '73004', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(405) 224-4681', 'TYPE': 'NATURAL GAS PROCESSING PLANT', 'STATUS': 'NOT AVAILABLE', 'POPULATION': 4, 'COUNTY': 'GRADY', 'COUNTYFIPS': '40051', 'COUNTRY': 'USA', 'LATITUDE': 35.162767, 'LONGITUDE': -97.797961, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2011/11/29 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2015/07/31 00:00:00', 'WEBSITE': 'www.akaenergy.com/', 'FACID': '100000213805', 'COMPNAME': 'LUMEN MIDSTREAM PARTNERSHIP LLC', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'LUMEN MIDSTREAM PARTNERSHIP LLC', 'OPERADDR': '20 EAST 5TH STREET, SUITE 1300', 'OPERCITY': 'TULSA', 'OPERSTATE': 'OK', 'OPERCNTRY': 'USA', 'OPERZIP': '74135', 'OPERPHONE': '(405) 224-4681', 'OPERURL': 'www.akaenergy.com/', 'GASCAP': 21, 'PROCAMTBLS': 165000, 'BASIN': 'ANADARKO', 'PLANTFLOW': 6, 'BTUCONTENT': 1350, 'GASSTORCAP': -999, 'LIQSTORCAP': 380, 'RMP_ID': '1000024017', 'EPA_ID': '110044761790'}","{'type': 'Point', 'coordinates': [-97.797961, 35.162767]}"
61f02d6fa810b1150d2bff44,Feature,"{'OBJECTID': 294, 'NGPPID': 'NGPP400475', 'NAME': 'TIMBERLAND GATHERING & PROC. CO., INC.', 'ADDRESS': '0.4 MI N HWY 54 / N1 020 RD', 'CITY': 'HOOKER', 'STATE': 'OK', 'ZIP': '73945', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'CRUDE PETROLEUM AND NATURAL GAS EXTRACTION PLANT', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'TEXAS', 'COUNTYFIPS': '40139', 'COUNTRY': 'USA', 'LATITUDE': 36.885212, 'LONGITUDE': -101.180674, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'EPA ENVIROFACTS', 'SOURCEDATE': '2015/01/09 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2015/07/31 00:00:00', 'WEBSITE': 'NOT AVAILABLE', 'FACID': '110044801033', 'COMPNAME': 'NOT AVAILABLE', 'POSREL': 'NOTIONAL', 'OPERATOR': 'NOT AVAILABLE', 'OPERADDR': 'NOT AVAILABLE', 'OPERCITY': 'NOT AVAILABLE', 'OPERSTATE': 'NOT AVAILABLE', 'OPERCNTRY': 'NOT AVAILABLE', 'OPERZIP': 'NOT AVAILABLE', 'OPERPHONE': 'NOT AVAILABLE', 'OPERURL': 'NOT AVAILABLE', 'GASCAP': 60, 'PROCAMTBLS': -999, 'BASIN': 'NOT AVAILABLE', 'PLANTFLOW': 15, 'BTUCONTENT': 1030, 'GASSTORCAP': -999, 'LIQSTORCAP': 1137, 'RMP_ID': 'NOT AVAILABLE', 'EPA_ID': '110044801033'}","{'type': 'Point', 'coordinates': [-101.180674, 36.885212]}"
61f02d6fa810b1150d2bfe2c,Feature,"{'OBJECTID': 24, 'NGPPID': 'NGPP060197', 'NAME': 'JP OIL COMPANY, INC.', 'ADDRESS': 'KETTLEMAN HILLS 3-P PLANT, 11P CAMP SKYLINE ROAD', 'CITY': 'AVENAL', 'STATE': 'CA', 'ZIP': '93204', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(661) 746-8984', 'TYPE': 'NATURAL GAS LIQUIDS EXTRACTION PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 27, 'COUNTY': 'KINGS', 'COUNTYFIPS': '06031', 'COUNTRY': 'USA', 'LATITUDE': 36.046139, 'LONGITUDE': -120.114583, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2006/06/21 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2015/06/18 00:00:00', 'WEBSITE': 'www.jpoil.com/', 'FACID': '100000195638', 'COMPNAME': 'CHRIS VANWAY', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'JP OIL HOLDINGS, LLC', 'OPERADDR': '30540 IMPERIAL ST.', 'OPERCITY': 'SHAFTER', 'OPERSTATE': 'CA', 'OPERCNTRY': 'USA', 'OPERZIP': '93263', 'OPERPHONE': '(661) 746-8984', 'OPERURL': 'www.jpoil.com/', 'GASCAP': -999, 'PROCAMTBLS': 782351, 'BASIN': 'SAN JOAQUIN', 'PLANTFLOW': -999, 'BTUCONTENT': -999, 'GASSTORCAP': -999, 'LIQSTORCAP': -999, 'RMP_ID': '45946', 'EPA_ID': '110013858352'}","{'type': 'Point', 'coordinates': [-120.114583, 36.046139]}"
61f02d6fa810b1150d2c00ff,Feature,"{'OBJECTID': 737, 'NGPPID': 'NGPP400815', 'NAME': 'MCCLURE', 'ADDRESS': '9210 N BUTLER ROAD', 'CITY': 'BUTLER', 'STATE': 'OK', 'ZIP': '73625', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(405) 525-7788', 'TYPE': 'NOT AVAILABLE', 'STATUS': 'ACTIVE', 'POPULATION': 9, 'COUNTY': 'CUSTER', 'COUNTYFIPS': '40039', 'COUNTRY': 'USA', 'LATITUDE': 35.681048, 'LONGITUDE': -99.285224, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'CORPORATE WEBSITE, EIA-757, NATURAL GAS PROCESSING PLANT SURVEY, EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2019/01/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/01 00:00:00', 'WEBSITE': 'www.enablemidstream.com', 'FACID': '100000224278', 'COMPNAME': 'ENABLE PRODUCTS LLC', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'ENABLE PRODUCTS LLC', 'OPERADDR': '499 W SHERIDAN AVE, SUITE 1500', 'OPERCITY': 'OKLAHOMA CITY', 'OPERSTATE': 'OK', 'OPERCNTRY': 'USA', 'OPERZIP': '73102', 'OPERPHONE': '(405) 525-7788', 'OPERURL': 'www.enablemidstream.com', 'GASCAP': 215, 'PROCAMTBLS': 0, 'BASIN': 'ANADARKO BASIN', 'PLANTFLOW': 200, 'BTUCONTENT': 1111, 'GASSTORCAP': -999, 'LIQSTORCAP': 2620, 'RMP_ID': '1000041811', 'EPA_ID': 'NOT AVAILABLE'}","{'type': 'Point', 'coordinates': [-99.285224, 35.681048]}"
61f02d6fa810b1150d2bff09,Feature,"{'OBJECTID': 239, 'NGPPID': 'NGPP380723', 'NAME': 'GRASSLANDS COMPLEX (MCKENZIE PLANT)', 'ADDRESS': '16001 BENNIE PIERRE ROAD', 'CITY': 'ALEXANDER', 'STATE': 'ND', 'ZIP': '58831', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(800) 778-7831', 'TYPE': 'NATURAL GAS PROCESSING PLANT AND NATURAL GAS LIQUIDS STORAGE', 'STATUS': 'ACTIVE', 'POPULATION': 15, 'COUNTY': 'MCKENZIE', 'COUNTYFIPS': '38053', 'COUNTRY': 'USA', 'LATITUDE': 47.59125, 'LONGITUDE': -103.997089, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'CORPORATE WEBSITE, EIA-757, NATURAL GAS PROCESSING PLANT SURVEY, EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2019/01/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/10 00:00:00', 'WEBSITE': 'www.oneok.com', 'FACID': '100000040564', 'COMPNAME': 'ONEOK', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'ONEOK', 'OPERADDR': '100 WEST FIFTH STREET', 'OPERCITY': 'TULSA', 'OPERSTATE': 'OK', 'OPERCNTRY': 'USA', 'OPERZIP': '74103', 'OPERPHONE': '(918) 588-7000', 'OPERURL': 'www.oneok.com', 'GASCAP': 85, 'PROCAMTBLS': 3715900, 'BASIN': 'WILLISTON', 'PLANTFLOW': 68, 'BTUCONTENT': 1340, 'GASSTORCAP': -999, 'LIQSTORCAP': 31738, 'RMP_ID': '1000044310', 'EPA_ID': '110000709779'}","{'type': 'Point', 'coordinates': [-103.997089, 47.59125]}"
61f02d6fa810b1150d2c0128,Feature,"{'OBJECTID': 782, 'NGPPID': 'NGPPCA0731', 'NAME': 'PANCDN BADGER GAS PLANT', 'ADDRESS': '13-19-016-17W4', 'CITY': 'BADGER', 'STATE': 'AB', 'ZIP': 'NOT AVAILABLE', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'NATURAL GAS PROCESSING PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 999, 'COUNTY': 'VULCAN', 'COUNTYFIPS': 'NOT APPLICABLE', 'COUNTRY': 'CAN', 'LATITUDE': 50.367575, 'LONGITUDE': -112.339767, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'ALBERTA ENERGY REGULATOR, NORTH AMERICAN COOPERATION ON ENERGY INFORMATION, CORPORATE WEBSITE', 'SOURCEDATE': '2020/04/30 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/01 00:00:00', 'WEBSITE': 'https://www.razor-energy.com/', 'FACID': 'NOT AVAILABLE', 'COMPNAME': 'RAZOR ENERGY CORP', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'RAZOR ENERGY CORP', 'OPERADDR': '800-500 5TH AVERNUE SW', 'OPERCITY': 'CALGARY', 'OPERSTATE': 'AB', 'OPERCNTRY': 'CAN', 'OPERZIP': 'T2P 3L5', 'OPERPHONE': '(403) 262-0242', 'OPERURL': 'https://www.razor-energy.com/', 'GASCAP': 2.27, 'PROCAMTBLS': -999, 'BASIN': 'WESTERN CANADA SEDIMENTARY', 'PLANTFLOW': -999, 'BTUCONTENT': -999, 'GASSTORCAP': -999, 'LIQSTORCAP': -999, 'RMP_ID': 'NOT APPLICABLE', 'EPA_ID': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-112.339767, 50.367575]}"
61f02d6fa810b1150d2bff2c,Feature,"{'OBJECTID': 274, 'NGPPID': 'NGPP400455', 'NAME': 'PERKINS GAS PROCESSING PLANT', 'ADDRESS': '1.25 MI N OF HWY 105 ON HAGAR ROAD', 'CITY': 'PERKINS', 'STATE': 'OK', 'ZIP': '74059', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(918) 477-4569', 'TYPE': 'NATURAL GAS PROCESSING PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 3, 'COUNTY': 'LINCOLN', 'COUNTYFIPS': '40081', 'COUNTRY': 'USA', 'LATITUDE': 35.892003, 'LONGITUDE': -97.087138, 'NAICS_CODE': '221210', 'NAICS_DESC': 'NATURAL GAS DISTRIBUTION', 'SOURCE': 'CORPORATE WEBSITE, EIA-757, NATURAL GAS PROCESSING PLANT SURVEY, EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2019/01/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2020/06/12 00:00:00', 'WEBSITE': 'www.superiorpipeline.com', 'FACID': '100000205039', 'COMPNAME': 'SUPERIOR PIPELINE COMPANY LLC', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'SUPERIOR PIPELINE COMPANY LLC', 'OPERADDR': '8200 SOUTH UNIT DRIVE', 'OPERCITY': 'TULSA', 'OPERSTATE': 'OK', 'OPERCNTRY': 'USA', 'OPERZIP': '74132', 'OPERPHONE': '(918) 382-7200', 'OPERURL': 'www.superiorpipeline.com/', 'GASCAP': 30, 'PROCAMTBLS': 117945, 'BASIN': 'CHEROKEE PLATFORM', 'PLANTFLOW': 3.5, 'BTUCONTENT': 1280, 'GASSTORCAP': -999, 'LIQSTORCAP': 700, 'RMP_ID': '1000038284', 'EPA_ID': '110038368496'}","{'type': 'Point', 'coordinates': [-97.087138, 35.892003]}"
61f02d6fa810b1150d2bff10,Feature,"{'OBJECTID': 241, 'NGPPID': 'NGPP390437', 'NAME': 'SENECA GAS PROCESSING PLANT', 'ADDRESS': '26645 ZEP ROAD EAST', 'CITY': 'SUMMERFIELD', 'STATE': 'OH', 'ZIP': '43788', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': '(918) 388-7424', 'TYPE': 'NATURAL GAS LIQUIDS EXTRACTION PLANT', 'STATUS': 'ACTIVE', 'POPULATION': 24, 'COUNTY': 'NOBLE', 'COUNTYFIPS': '39121', 'COUNTRY': 'USA', 'LATITUDE': 39.800406, 'LONGITUDE': -81.348854, 'NAICS_CODE': '211130', 'NAICS_DESC': 'NATURAL GAS EXTRACTION', 'SOURCE': 'EPA RISK MANAGEMENT PLAN (RMP) - THE RIGHT-TO-KNOW NETWORK', 'SOURCEDATE': '2014/07/07 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2015/07/30 00:00:00', 'WEBSITE': 'www.markwest.com/', 'FACID': '100000222555', 'COMPNAME': 'MARKWEST UTICA EMG, L.L.C', 'POSREL': 'WITHIN 40 FEET', 'OPERATOR': 'MARKWEST UTICA EMG, L.L.C', 'OPERADDR': '101 EAST MARKET STREET', 'OPERCITY': 'CADIZ', 'OPERSTATE': 'OH', 'OPERCNTRY': 'USA', 'OPERZIP': '43907', 'OPERPHONE': '(918) 388-7424', 'OPERURL': 'www.markwest.com/', 'GASCAP': -999, 'PROCAMTBLS': 482000, 'BASIN': 'NORTHERN APPALACHIAN', 'PLANTFLOW': -999, 'BTUCONTENT': -999, 'GASSTORCAP': -999, 'LIQSTORCAP': -999, 'RMP_ID': '1000045065', 'EPA_ID': '110056339797'}","{'type': 'Point', 'coordinates': [-81.348854, 39.800406]}"
