_id,type,properties,geometry
61f0300d4889c4986403a5b5,Feature,"{'FID': 66, 'STFID': 'STF170066', 'NAME': 'LEXINGTON', 'ADDRESS': 'N 2250 EAST ROAD', 'CITY': 'NEAR LEXINGTON', 'STATE': 'IL', 'ZIP': '61753', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'AQUIFER', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'MCLEAN', 'COUNTYFIPS': '17113', 'COUNTRY': 'USA', 'LATITUDE': 40.629924, 'LONGITUDE': -88.83724, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, ILLINOIS STATE GEOLOGIC SURVEY, ILLINOIS EPA, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'https://www.nicorgas.com/', 'EPAID': '412560', 'OWNER': 'AGL RESOURCES (NORTHERN ILLINOIS GAS COMPANY)', 'OPERATOR': 'NICOR', 'POSREL': 'WITHIN 166 FEET', 'OWNERPCT': 100, 'MAXDEL': 150000, 'WORKCAP': 8250000, 'BASEGAS': 43935000, 'TOTALCAP': 52185000, 'REGION': 'MIDWEST REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'MT. SIMON', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-88.83724, 40.629924]}"
61f0300d4889c4986403a726,Feature,"{'FID': 439, 'STFID': 'STF540439', 'NAME': 'HEIZER X-1', 'ADDRESS': '5268 CO RTE 27  (3.7 NNW OF LANHAM)', 'CITY': 'LANHAM', 'STATE': 'WV', 'ZIP': '25159', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'INACTIVE', 'POPULATION': -999, 'COUNTY': 'PUTNAM', 'COUNTYFIPS': '54079', 'COUNTRY': 'USA', 'LATITUDE': 38.522745, 'LONGITUDE': -81.774679, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'http://www.bloomberg.com/', 'EPAID': '19049', 'OWNER': 'CRANBERRY PIPELINE CORPORATION', 'OPERATOR': 'CRANBERRY PIPELINE CORPORATION', 'POSREL': 'WITHIN 166 FEET', 'OWNERPCT': 100, 'MAXDEL': 46000, 'WORKCAP': 2730000, 'BASEGAS': 400000, 'TOTALCAP': 3150000, 'REGION': 'EAST REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'BIG LIME', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-81.774679, 38.522745]}"
61f0300d4889c4986403a587,Feature,"{'FID': 8, 'STFID': 'STF080008', 'NAME': 'FORT MORGAN', 'ADDRESS': 'SOUTH OF N ROAD/WEST OF HWY 18', 'CITY': 'FORT MORGAN', 'STATE': 'CO', 'ZIP': '80701', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'MORGAN', 'COUNTYFIPS': '08087', 'COUNTRY': 'USA', 'LATITUDE': 40.188211, 'LONGITUDE': -103.815937, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, COLORADO DEPARTMENT OF NATURAL RESOURCES, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'http://www.kindermorgan.com/', 'EPAID': '250574', 'OWNER': 'KINDER MORGAN (COLORADO INTERSTATE GAS COMPANY)', 'OPERATOR': 'COLORADO INTERSTATE GAS COMPANY', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 450000, 'WORKCAP': 8496000, 'BASEGAS': 6361982, 'TOTALCAP': 14858000, 'REGION': 'MOUNTAIN REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'DAKOTA D', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-103.815937, 40.188211]}"
61f0300d4889c4986403a61f,Feature,"{'FID': 174, 'STFID': 'STF220174', 'NAME': 'ARCADIA', 'ADDRESS': '2110 SALINE RIDGE ROAD', 'CITY': 'ARCADIA', 'STATE': 'LA', 'ZIP': '71001', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'SALT DOME', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'BIENVILLE', 'COUNTYFIPS': '22013', 'COUNTRY': 'USA', 'LATITUDE': 32.527668, 'LONGITUDE': -92.910943, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, EPA ENVIROFACTS, CORPORATE WEBSITE', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'http://www.cardinalgs.com/', 'EPAID': '48643', 'OWNER': 'CARDINAL GAS STORAGE PARTNERS (ARCADIA GAS STORAGE LLC)', 'OPERATOR': 'ARCADIA GAS STORAGE LLC', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 900000, 'WORKCAP': 15250000, 'BASEGAS': 3410690, 'TOTALCAP': 18400000, 'REGION': 'SOUTH CENTRAL REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'ARCADIA SALT DOME', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-92.910943, 32.527668]}"
61f0300d4889c4986403a612,Feature,"{'FID': 163, 'STFID': 'STF210163', 'NAME': 'CENTER', 'ADDRESS': 'ATWELL RD & CRAIL HOPE RD', 'CITY': 'CENTER', 'STATE': 'KY', 'ZIP': '42746', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'METCALFE', 'COUNTYFIPS': '21169', 'COUNTRY': 'USA', 'LATITUDE': 37.167591, 'LONGITUDE': -85.707401, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'https://lge-ku.com/our-company', 'EPAID': '129264', 'OWNER': 'PPL CORPORATION (LOUISVILLE GAS AND ELECTRIC COMPANY)', 'OPERATOR': 'LOUISVILLE GAS AND ELECTRIC COMPANY', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 30000, 'WORKCAP': 2380000, 'BASEGAS': 2720000, 'TOTALCAP': 5100000, 'REGION': 'MIDWEST REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'CENTER', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-85.707401, 37.167591]}"
61f0300d4889c4986403a5e5,Feature,"{'FID': 117, 'STFID': 'STF180117', 'NAME': 'MONROE CITY', 'ADDRESS': 'SE OF HWY 241/WEST OF COUNTY ROAD SE 400E', 'CITY': 'MONROE CITY', 'STATE': 'IN', 'ZIP': '47557', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'KNOX', 'COUNTYFIPS': '18083', 'COUNTRY': 'USA', 'LATITUDE': 38.607857, 'LONGITUDE': -87.368548, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, INDIANA GEOLOGICAL SURVEY, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'https://www.vectren.com/', 'EPAID': '481899', 'OWNER': 'SOUTHERN INDIANA GAS ELECTRIC', 'OPERATOR': 'SOUTHERN INDIANA GAS & ELECTRIC', 'POSREL': 'WITHIN 166 FEET', 'OWNERPCT': 100, 'MAXDEL': 28000, 'WORKCAP': 4434117, 'BASEGAS': 3016334, 'TOTALCAP': 5434203, 'REGION': 'MIDWEST REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'MANSFIELD SANDSTONE', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-87.368548, 38.607857]}"
61f0300d4889c4986403a700,Feature,"{'FID': 399, 'STFID': 'STF480399', 'NAME': 'STRATTON RIDGE SALT DOME', 'ADDRESS': '7750 STRATTON RIDGE ROAD', 'CITY': 'CLUTE', 'STATE': 'TX', 'ZIP': '77541', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'SALT DOME', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'BRAZORIA', 'COUNTYFIPS': '48039', 'COUNTRY': 'USA', 'LATITUDE': 29.048392, 'LONGITUDE': -95.35479, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'http://www.freeportlng.com/', 'EPAID': '683893', 'OWNER': 'FREEPORT LNG DEVELOPMENT LP', 'OPERATOR': 'FREEPORT LNG DEVELOPMENT LP', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 500000, 'WORKCAP': 4500000, 'BASEGAS': 3879559, 'TOTALCAP': 8500000, 'REGION': 'SOUTH CENTRAL REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'STRATTON RIDGE GAS STORAGE CAVERN', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-95.35479, 29.048392]}"
61f0300d4889c4986403a625,Feature,"{'FID': 178, 'STFID': 'STF220178', 'NAME': 'PERRYVILLE', 'ADDRESS': '210 HILL RIDGE RD', 'CITY': 'WINNSBORO', 'STATE': 'LA', 'ZIP': '71295', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'SALT DOME', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'FRANKLIN', 'COUNTYFIPS': '22041', 'COUNTRY': 'USA', 'LATITUDE': 32.293075, 'LONGITUDE': -91.621595, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, CORPORATE WEBSITE', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'http://www.perryvillegasstorage.com/', 'EPAID': '551461', 'OWNER': 'CARDINAL GAS STORAGE PARTNERS (PERRYVILLE GAS STORAGE LLC)', 'OPERATOR': 'PERRYVILLE GAS STORAGE LLC', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 641000, 'WORKCAP': 11850000, 'BASEGAS': 4791705, 'TOTALCAP': 16750000, 'REGION': 'SOUTH CENTRAL REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'CROWVILLE', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-91.621595, 32.293075]}"
61f0300d4889c4986403a635,Feature,"{'FID': 196, 'STFID': 'STF220196', 'NAME': 'CADEVILLE', 'ADDRESS': '353 ERVIN COTTON ROAD', 'CITY': 'EROS', 'STATE': 'LA', 'ZIP': '71238', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'OUACHITA', 'COUNTYFIPS': '22073', 'COUNTRY': 'USA', 'LATITUDE': 32.412704, 'LONGITUDE': -92.284612, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, CORPORATE WEBSITE', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'www.cadevillegasstorage.com', 'EPAID': '111849', 'OWNER': 'CADEVILLE GAS STORAGE', 'OPERATOR': 'CADEVILLE GAS STORAGE', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 250000, 'WORKCAP': 17000000, 'BASEGAS': 4712132, 'TOTALCAP': 21000000, 'REGION': 'SOUTH CENTRAL REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'JAMES SAND', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-92.284612, 32.412704]}"
61f0300d4889c4986403a691,Feature,"{'FID': 292, 'STFID': 'STF390292', 'NAME': 'LUCAS', 'ADDRESS': 'OH 39/WEST OF WELL RD', 'CITY': 'LUCAS', 'STATE': 'OH', 'ZIP': '44864', 'ZIP4': 'NOT AVAILABLE', 'TELEPHONE': 'NOT AVAILABLE', 'TYPE': 'DEPLETED FIELD', 'STATUS': 'ACTIVE', 'POPULATION': -999, 'COUNTY': 'RICHLAND', 'COUNTYFIPS': '39139', 'COUNTRY': 'USA', 'LATITUDE': 40.706098, 'LONGITUDE': -82.359771, 'NAICS_CODE': '486210', 'NAICS_DESC': 'STORAGE OF NATURAL GAS', 'SOURCE': 'EIA, IMAGERY', 'SOURCEDATE': '2018/12/01 00:00:00', 'VAL_METHOD': 'IMAGERY/OTHER', 'VAL_DATE': '2019/04/10 00:00:00', 'WEBSITE': 'https://www.cpg.com/', 'EPAID': '432062', 'OWNER': 'COLUMBIA PIPELINE GROUP (COLUMBIA GAS TRANSMISSION LLC)', 'OPERATOR': 'COLUMBIA GAS TRANSMISSION LLC', 'POSREL': 'WITHIN 40 FEET', 'OWNERPCT': 100, 'MAXDEL': 408900, 'WORKCAP': 29006512, 'BASEGAS': 31393488, 'TOTALCAP': 60400000, 'REGION': 'EAST REGION', 'PROPMAX': -999, 'PROPWORK': -999, 'PROPTOTAL': -999, 'RESERVNAME': 'CLINTON', 'SEC_NAICS': 'NOT APPLICABLE', 'SEC_N_DESC': 'NOT APPLICABLE'}","{'type': 'Point', 'coordinates': [-82.359771, 40.706098]}"
